"","OI_KEY","Plot_ID","TREE_IN_PLOT","SPoriginal","Num.Code","NRCS.Code","Common.Name","SP_SWO","INC","DBH","THT","CR","TOP","LIVE","DECAY","NEST","VOLUME","perAcreArea_raster2","Tree_Id"
"1",264258,"11_09",3,"DF",202,"PSME","Douglas-fir","DF",,2,18,,,"Y",,,0.2,0.111354748199686,1
"2",264258,"11_09",2,"DF",202,"PSME","Douglas-fir","DF",,4,25,,,"Y",,,1,0.111354748199686,2
"3",264258,"11_09",2,"DF",202,"PSME","Douglas-fir","DF",,4,25,,,"Y",,,1,0.111354748199686,3
"4",264258,"11_09",1,"DF",202,"PSME","Douglas-fir","DF",4,5.7,25,100,1,"Y",0,0,2.1,0.0178167597119497,4
"5",264258,"11_09",2,"DF",202,"PSME","Douglas-fir","DF",,4,25,,,"Y",,,1,0.111354748199686,5
"6",264258,"11_09",1,"DF",202,"PSME","Douglas-fir","DF",,3,20,,,"Y",,,0.5,0.111354748199686,6
"7",264258,"11_09",1,"DF",202,"PSME","Douglas-fir","DF",,3,20,,,"Y",,,0.5,0.111354748199686,7
"8",264258,"11_09",2,"DF",202,"PSME","Douglas-fir","DF",,4,25,,,"Y",,,1,0.111354748199686,8
"9",264258,"11_16",5,"OM",981,"UMCA","Oregon myrtle","OM",,1,7,,,"Y",,,0,0.222400832266876,9
"10",264258,"11_16",3,"DF",202,"PSME","Douglas-fir","DF",14,7.3,38,95,1,"Y",0,0,4.6,0.0355841331627002,10
"11",264258,"11_16",2,"DF",202,"PSME","Douglas-fir","DF",,1,11,,,"Y",,,0,0.222400832266876,11
"12",264258,"11_16",4,"TO",631,"LIDE3","Tanoak","TO",,1,8,,,"Y",,,0,0.222400832266876,12
"13",264258,"11_16",4,"TO",631,"LIDE3","Tanoak","TO",,1,8,,,"Y",,,0,0.222400832266876,13
"14",264258,"11_16",4,"TO",631,"LIDE3","Tanoak","TO",,1,8,,,"Y",,,0,0.222400832266876,14
"15",264258,"11_16",4,"TO",631,"LIDE3","Tanoak","TO",,1,8,,,"Y",,,0,0.222400832266876,15
"16",264258,"11_16",12,"DF",202,"PSME","Douglas-fir","DF",15,5.6,36,95,1,"Y",0,0,2.6,0.0355841331627002,16
